Santos, São Paulo, Brasil <-> São Paulo, São Paulo, Brasil
São Paulo, São Paulo, Brasil <-> Campinas, São Paulo, Brasil
São Paulo, São Paulo, Brasil <-> Botucatu, São Paulo, Brasil
São Paulo, São Paulo, Brasil <-> Presidente Prudente, São Paulo, Brasil
Botucatu, São Paulo, Brasil <-> Presidente Prudente, São Paulo, Brasil
Campinas, São Paulo, Brasil <-> Bauru, São Paulo, Brasil
Bauru, São Paulo, Brasil <-> São José do Rio Preto, São Paulo, Brasil
São José do Rio Preto, São Paulo, Brasil <-> Castilho, São Paulo, Brasil
Castilho, São Paulo, Brasil <-> Três Lagoas, Mato Grosso do Sul, Brasil
Três Lagoas, Mato Grosso do Sul, Brasil <-> Água Clara, Mato Grosso do Sul, Brasil
Água Clara, Mato Grosso do Sul, Brasil <-> Campo Grande, Mato Grosso do Sul, Brasil
Campo Grande, Mato Grosso do Sul, Brasil <-> Sidrolândia, Mato Grosso do Sul, Brasil
Sidrolândia, Mato Grosso do Sul, Brasil <-> Nioaque, Mato Grosso do Sul, Brasil
Nioaque, Mato Grosso do Sul, Brasil <-> Guia Lopes da Laguna, Mato Grosso do Sul, Brasil
Guia Lopes da Laguna, Mato Grosso do Sul, Brasil <-> Jardim, Mato Grosso do Sul, Brasil
Jardim, Mato Grosso do Sul, Brasil <-> Porto Murtinho, Mato Grosso do Sul, Brasil
Porto Murtinho, Mato Grosso do Sul, Brasil <-> Carmelo Peralta, Alto Paraguay, Paraguai
Carmelo Peralta, Alto Paraguay, Paraguai <-> Loma Plata, Boquerón, Paraguai
Loma Plata, Boquerón, Paraguai <-> Filadelfia, Boquerón, Paraguai
Filadelfia, Boquerón, Paraguai <-> Mariscal José Félix Estigarribia, Boquerón, Paraguai
Mariscal José Félix Estigarribia, Boquerón, Paraguai <-> Pozo Hondo, Boquerón, Paraguai
Pozo Hondo, Boquerón, Paraguai <-> Misión La Paz, Salta, Argentina
Misión La Paz, Salta, Argentina <-> Tartagal, Salta, Argentina
Tartagal, Salta, Argentina <-> Joaquín V. González, Salta, Argentina
Joaquín V. González, Salta, Argentina <-> San José de Metán, Salta, Argentina
San José de Metán, Salta, Argentina <-> Salta, Salta, Argentina
